part,scenario,algo,warmstart,mean_profit,ci95,n_rep,delta_rule,delta_best,horizon,note
A,supply_only_harsh_strong,rule_based,,2289188.539999999,98993.55576990859,10,0.0,-3171.4175000009127,30+365,A-chain only
A,supply_only_harsh_strong,dqn,N,2264516.8600000003,100847.46037149182,10,-24671.67999999877,-27843.097499999683,30+365,A-chain only
A,supply_only_harsh_strong,dqn,Y,2280772.9525,102016.61959622575,10,-8415.587499998976,-11587.004999999888,30+365,A-chain only
A,supply_only_harsh_strong,ddqn,N,2248535.004999999,102426.26481803186,10,-40653.53500000015,-43824.95250000106,30+365,A-chain only
A,supply_only_harsh_strong,ddqn,Y,2289188.539999999,98993.55576990859,10,0.0,-3171.4175000009127,30+365,A-chain only
A,supply_only_harsh_strong,dueling,N,2253509.45,107717.92510888483,10,-35679.08999999892,-38850.50749999983,30+365,A-chain only
A,supply_only_harsh_strong,dueling,Y,2269236.135,98670.54920559225,10,-19952.40499999933,-23123.822500000242,30+365,A-chain only
A,supply_only_harsh_strong,d3qn,N,2249314.0324999997,101689.19972046219,10,-39874.50749999937,-43045.92500000028,30+365,A-chain only
A,supply_only_harsh_strong,d3qn,Y,2293105.5725,95839.71629764567,10,3917.0325000006706,745.6149999997579,30+365,A-chain only
A,supply_only_harsh_strong,ppo,N,2277978.1499999994,95897.99582203127,10,-11210.389999999665,-14381.807500000577,30+365,A-chain only
A,supply_only_harsh_strong,ppo,Y,2290495.3924999996,104692.12652422866,10,1306.852500000503,-1864.5650000004098,30+365,A-chain only
A,transport_only_pdf,"fixed_0_(s,S)",,2575970.089999999,8961.161774397928,10,705.8499999996275,-44.75750000216067,30+365,U-chain only
A,transport_only_pdf,best_fixed_1,,2576014.847500001,9014.233768803639,10,750.6075000017881,0.0,30+365,U-chain only
A,transport_only_pdf,rule_based,,2575264.2399999993,9345.693031038672,10,0.0,-750.6075000017881,30+365,U-chain only
A,transport_only_pdf,dqn,N,2560941.172500001,10950.894237089507,10,-14323.067499998491,-15073.67500000028,30+365,U-chain only
A,transport_only_pdf,dqn,Y,2575264.2399999993,9345.693031038672,10,0.0,-750.6075000017881,30+365,U-chain only
A,transport_only_pdf,ddqn,N,2558442.505,9489.608667713344,10,-16821.734999999404,-17572.342500001192,30+365,U-chain only
A,transport_only_pdf,ddqn,Y,2575264.2399999993,9345.693031038672,10,0.0,-750.6075000017881,30+365,U-chain only
A,transport_only_pdf,dueling,N,2551211.4025,7392.814865838719,10,-24052.83749999944,-24803.44500000123,30+365,U-chain only
A,transport_only_pdf,dueling,Y,2574765.7125000004,9151.839986932639,10,-498.52749999891967,-1249.1350000007078,30+365,U-chain only
A,transport_only_pdf,d3qn,N,2555561.26,8669.58934085986,10,-19702.979999999516,-20453.587500001304,30+365,U-chain only
A,transport_only_pdf,d3qn,Y,2574953.6075000004,9259.24833894062,10,-310.63249999890104,-1061.2400000006892,30+365,U-chain only
A,transport_only_pdf,ppo,N,2576014.847500001,9014.233768803639,10,750.6075000017881,0.0,30+365,U-chain only
A,transport_only_pdf,ppo,Y,2576021.1275000004,9002.983269974055,10,756.8875000011176,6.279999999329448,30+365,U-chain only
A,transport_only_harsh_mild,"fixed_0_(s,S)",,2530596.8725,23345.09616319424,10,-17795.132499999832,15775.41749999905,30+365,U-chain only
A,transport_only_harsh_mild,best_fixed_13,,2514821.455000001,20681.863175102393,10,-33570.54999999888,0.0,30+365,U-chain only
A,transport_only_harsh_mild,rule_based,,2548392.005,18221.11418469831,10,0.0,33570.54999999888,30+365,U-chain only
A,transport_only_harsh_mild,dqn,N,2524044.4699999997,17361.02502645971,10,-24347.53500000015,9223.014999998733,30+365,U-chain only
A,transport_only_harsh_mild,dqn,Y,2516027.6949999994,16838.040373144297,10,-32364.31000000052,1206.2399999983609,30+365,U-chain only
A,transport_only_harsh_mild,ddqn,N,2529222.6275,21950.71487839877,10,-19169.377499999944,14401.172499998938,30+365,U-chain only
A,transport_only_harsh_mild,ddqn,Y,2548392.005,18221.11418469831,10,0.0,33570.54999999888,30+365,U-chain only
A,transport_only_harsh_mild,dueling,N,2519838.0300000003,18172.420669321164,10,-28553.974999999627,5016.574999999255,30+365,U-chain only
A,transport_only_harsh_mild,dueling,Y,2530813.0800000005,23950.81921970928,10,-17578.924999999348,15991.624999999534,30+365,U-chain only
A,transport_only_harsh_mild,d3qn,N,2528336.3400000003,17059.086642242426,10,-20055.66499999957,13514.88499999931,30+365,U-chain only
A,transport_only_harsh_mild,d3qn,Y,2527876.792500001,21778.580661561202,10,-20515.212499998976,13055.337499999907,30+365,U-chain only
A,transport_only_harsh_mild,ppo,N,2530596.8725,23345.09616319424,10,-17795.132499999832,15775.41749999905,30+365,U-chain only
A,transport_only_harsh_mild,ppo,Y,2544492.7550000004,22270.78285673647,10,-3899.2499999995343,29671.299999999348,30+365,U-chain only
A,transport_only_harsh_strong,"fixed_0_(s,S)",,2411069.4825000004,64456.460094551476,10,-47773.962499998976,-36309.649999998976,30+365,U-chain only
A,transport_only_harsh_strong,best_fixed_12,,2447379.1324999994,52970.81055333929,10,-11464.3125,0.0,30+365,U-chain only
A,transport_only_harsh_strong,rule_based,,2458843.4449999994,58380.11029032056,10,0.0,11464.3125,30+365,U-chain only
A,transport_only_harsh_strong,dqn,N,2443340.765,56699.08669047724,10,-15502.679999999236,-4038.3674999992363,30+365,U-chain only
A,transport_only_harsh_strong,dqn,Y,2448308.0625000005,55233.844330346226,10,-10535.382499998901,928.930000001099,30+365,U-chain only
A,transport_only_harsh_strong,ddqn,N,2432106.1249999995,59904.99754863658,10,-26737.319999999832,-15273.007499999832,30+365,U-chain only
A,transport_only_harsh_strong,ddqn,Y,2458843.4449999994,58380.11029032056,10,0.0,11464.3125,30+365,U-chain only
A,transport_only_harsh_strong,dueling,N,2441077.2474999996,56929.437753318314,10,-17766.197499999776,-6301.8849999997765,30+365,U-chain only
A,transport_only_harsh_strong,dueling,Y,2429122.295,59781.87756707593,10,-29721.14999999944,-18256.83749999944,30+365,U-chain only
A,transport_only_harsh_strong,d3qn,N,2439869.66,57269.85962303122,10,-18973.784999999218,-7509.472499999218,30+365,U-chain only
A,transport_only_harsh_strong,d3qn,Y,2434134.7675000005,63126.12673182352,10,-24708.677499998827,-13244.364999998827,30+365,U-chain only
A,transport_only_harsh_strong,ppo,N,2435482.6574999997,68752.33192942687,10,-23360.787499999627,-11896.474999999627,30+365,U-chain only
A,transport_only_harsh_strong,ppo,Y,2462215.6349999993,55894.42421561376,10,3372.189999999944,14836.502499999944,30+365,U-chain only
A,fixed_U3,"fixed_0_(s,S)",,-361014.45,1214.5233784839218,10,0.0,0.0,15+90,locked transport block
A,fixed_U3,best_fixed_1,,-361014.45,1214.5233784839218,10,0.0,0.0,15+90,locked transport block
A,fixed_U3,rule_based,,-361014.45,1214.5233784839218,10,0.0,0.0,15+90,locked transport block
A,fixed_U3,dqn,N,-361014.45,1214.5233784839218,10,0.0,0.0,15+90,locked transport block
A,fixed_U3,dqn,Y,-361014.45,1214.5233784839218,10,0.0,0.0,15+90,locked transport block
A,fixed_U3,ddqn,N,-361014.45,1214.5233784839218,10,0.0,0.0,15+90,locked transport block
A,fixed_U3,ddqn,Y,-361014.45,1214.5233784839218,10,0.0,0.0,15+90,locked transport block
A,fixed_U3,dueling,N,-361014.45,1214.5233784839218,10,0.0,0.0,15+90,locked transport block
A,fixed_U3,dueling,Y,-361014.45,1214.5233784839218,10,0.0,0.0,15+90,locked transport block
